"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
939,"1","2025-08-29T11:04:19.455775Z","sms-00016","spam",0.996,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","2025-08-29T11:04:19.455795Z"
940,"1","2025-08-29T11:04:20.589635Z","sms-00017","ham",1.017,"Oh k...i'm watching here:)","2025-08-29T11:04:20.589654Z"
941,"1","2025-08-29T11:04:22.030883Z","sms-00018","ham",1.296,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.","2025-08-29T11:04:22.030905Z"
942,"1","2025-08-29T11:04:23.265270Z","sms-00019","ham",1.084,"Fine if thats the way u feel. Thats the way its gota b","2025-08-29T11:04:23.265286Z"
943,"1","2025-08-29T11:04:24.735299Z","sms-00020","spam",1.314,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","2025-08-29T11:04:24.735317Z"
944,"1","2025-08-29T11:04:26.257889Z","sms-00021","ham",1.351,"Is that seriously how you spell his name?","2025-08-29T11:04:26.257908Z"
945,"1","2025-08-29T11:04:29.206863Z","sms-00022","ham",2.8,"I‘m going to try for 2 months ha ha only joking","2025-08-29T11:04:29.206879Z"
946,"1","2025-08-29T11:04:42.310278Z","sms-00023","ham",16.3,"So ü pay first lar... Then when is da stock comin...","2025-08-29T11:04:59.409600Z"
947,"1","2025-08-29T11:05:09.309457Z","sms-00024","ham",2.937,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?","2025-08-29T11:05:09.309475Z"
948,"1","2025-08-29T11:05:10.523383Z","sms-00025","ham",1.044,"Ffffffffff. Alright no way I can meet up with you sooner?","2025-08-29T11:05:10.523402Z"
949,"1","2025-08-29T11:05:13.700534Z","sms-00026","ham",3.027,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol","2025-08-29T11:05:13.700578Z"
950,"1","2025-08-29T11:05:14.726737Z","sms-00027","ham",0.875,"Lol your always so convincing.","2025-08-29T11:05:14.726758Z"
951,"1","2025-08-29T11:05:17.958651Z","sms-00028","ham",3.072,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?","2025-08-29T11:05:17.958670Z"
952,"1","2025-08-29T11:05:36.657312Z","sms-00029","ham",18.52,"I'm back &amp; we're packing the car now, I'll let you know if there's room","2025-08-29T11:05:36.657334Z"
953,"1","2025-08-29T11:05:38.801790Z","sms-00030","ham",1.981,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol","2025-08-29T11:05:38.801809Z"
954,"1","2025-08-29T11:05:42.492579Z","sms-00031","ham",3.536,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","2025-08-29T11:05:42.492596Z"
955,"1","2025-08-29T11:05:44.595988Z","sms-00032","ham",1.895,"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ","2025-08-29T11:05:44.596002Z"
956,"1","2025-08-29T11:05:46.295381Z","sms-00033","ham",1.577,"K tell me anything about you.","2025-08-29T11:05:46.295399Z"
957,"1","2025-08-29T11:05:57.505498Z","sms-00034","ham",11.035,"For fear of fainting with the of all that housework you just did? Quick have a cuppa","2025-08-29T11:05:57.505522Z"
958,"1","2025-08-29T11:05:59.178906Z","sms-00035","spam",1.504,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged","2025-08-29T11:05:59.178922Z"
959,"1","2025-08-29T11:06:00.716253Z","sms-00036","ham",1.376,"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am","2025-08-29T11:06:00.716272Z"
960,"1","2025-08-29T11:06:01.688367Z","sms-00037","ham",0.83,"Oops, I'll let you know when my roommate's done","2025-08-29T11:06:01.688386Z"
961,"1","2025-08-29T11:06:02.990055Z","sms-00038","ham",1.158,"I see the letter B on my car","2025-08-29T11:06:02.990080Z"
962,"1","2025-08-29T11:06:03.926128Z","sms-00039","ham",0.776,"Anything lor... U decide...","2025-08-29T11:06:03.926144Z"
963,"1","2025-08-29T11:06:06.623471Z","sms-00040","ham",2.538,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!","2025-08-29T11:06:06.623489Z"
964,"1","2025-08-29T11:06:08.046298Z","sms-00041","ham",1.272,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola","2025-08-29T11:06:08.046315Z"
965,"1","2025-08-29T11:06:09.630389Z","sms-00042","ham",1.435,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","2025-08-29T11:06:09.630403Z"
966,"1","2025-08-29T11:06:10.993617Z","sms-00043","spam",1.207,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow","2025-08-29T11:06:10.993635Z"
967,"1","2025-08-29T11:06:11.968162Z","sms-00044","ham",0.814,"WHO ARE YOU SEEING?","2025-08-29T11:06:11.968183Z"
968,"1","2025-08-29T11:06:13.059021Z","sms-00045","ham",0.949,"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...","2025-08-29T11:06:13.059041Z"
969,"1","2025-08-29T11:06:14.168131Z","sms-00046","ham",0.972,"No calls..messages..missed calls","2025-08-29T11:06:14.168141Z"
970,"1","2025-08-29T11:06:15.857197Z","sms-00047","ham",1.538,"Didn't you get hep b immunisation in nigeria.","2025-08-29T11:06:15.857213Z"
971,"1","2025-08-29T11:06:17.822276Z","sms-00048","ham",1.811,"Fair enough, anything going on?","2025-08-29T11:06:17.822292Z"
972,"1","2025-08-29T11:06:19.136066Z","sms-00049","ham",1.146,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","2025-08-29T11:06:19.136083Z"
973,"1","2025-08-29T11:06:21.093816Z","sms-00050","ham",1.723,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.","2025-08-29T11:06:21.093824Z"
974,"1","2025-08-29T11:06:23.335742Z","sms-00051","ham",2.066,"What you thinked about me. First time you saw me in class.","2025-08-29T11:06:23.335760Z"
975,"1","2025-08-29T11:06:24.969997Z","sms-00052","ham",1.473,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","2025-08-29T11:06:24.970014Z"
976,"1","2025-08-29T11:06:26.261478Z","sms-00053","ham",1.149,"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight","2025-08-29T11:06:26.261496Z"
977,"1","2025-08-29T11:06:27.916979Z","sms-00054","ham",1.495,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","2025-08-29T11:06:27.917000Z"
978,"1","2025-08-29T11:06:31.166589Z","sms-00055","spam",3.089,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV","2025-08-29T11:06:31.166609Z"
979,"1","2025-08-29T11:06:33.653602Z","sms-00056","spam",2.336,"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;","2025-08-29T11:06:33.653619Z"
980,"1","2025-08-29T11:06:35.825188Z","sms-00057","spam",2.021,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","2025-08-29T11:06:35.825207Z"
981,"1","2025-08-29T11:06:36.893697Z","sms-00058","ham",0.912,"Sorry, I'll call later in meeting.","2025-08-29T11:06:36.893710Z"
982,"1","2025-08-29T11:06:38.536339Z","sms-00059","ham",1.497,"Tell where you reached","2025-08-29T11:06:38.536357Z"
983,"1","2025-08-29T11:06:42.091283Z","sms-00060","ham",3.399,"Yes..gauti and sehwag out of odi series.","2025-08-29T11:06:42.091301Z"
984,"1","2025-08-29T11:06:50.092843Z","sms-00061","ham",7.824,"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.","2025-08-29T11:06:50.092860Z"
985,"1","2025-08-29T11:06:52.023211Z","sms-00062","ham",1.775,"Ha ha ha good joke. Girls are situation seekers.","2025-08-29T11:06:52.023228Z"
986,"1","2025-08-29T11:06:53.315170Z","sms-00063","ham",1.148,"Its a part of checking IQ","2025-08-29T11:06:53.315185Z"
987,"1","2025-08-29T11:06:54.652664Z","sms-00064","ham",1.111,"Sorry my roommates took forever, it ok if I come by now?","2025-08-29T11:06:54.652684Z"
988,"1","2025-08-29T11:06:56.803514Z","sms-00065","ham",1.999,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.","2025-08-29T11:06:56.803528Z"
989,"1","2025-08-29T11:06:58.832678Z","sms-00066","spam",1.879,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","2025-08-29T11:06:58.832695Z"
990,"1","2025-08-29T11:07:13.714818Z","sms-00067","ham",14.724,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","2025-08-29T11:07:13.714833Z"
991,"1","2025-08-29T11:07:21.318543Z","sms-00068","spam",7.423,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","2025-08-29T11:07:21.318562Z"
992,"1","2025-08-29T11:07:23.223138Z","sms-00069","ham",1.717,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","2025-08-29T11:07:23.223152Z"
993,"1","2025-08-29T11:07:25.994876Z","sms-00070","ham",2.613,"I plane to give on this month end.","2025-08-29T11:07:25.994894Z"
994,"1","2025-08-29T11:07:27.222935Z","sms-00071","ham",1.076,"Wah lucky man... Then can save money... Hee...","2025-08-29T11:07:27.222952Z"
995,"1","2025-08-29T11:07:28.233563Z","sms-00072","ham",0.86,"Finished class where are you.","2025-08-29T11:07:28.233581Z"
996,"1","2025-08-29T11:07:29.324309Z","sms-00073","ham",0.934,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX","2025-08-29T11:07:29.324330Z"
997,"1","2025-08-29T11:07:30.352248Z","sms-00074","ham",0.88,"K..k:)where are you?how did you performed?","2025-08-29T11:07:30.352266Z"
998,"1","2025-08-29T11:07:31.589932Z","sms-00075","ham",1.087,"U can call me now...","2025-08-29T11:07:31.589952Z"
999,"1","2025-08-29T11:07:33.004265Z","sms-00076","ham",1.264,"I am waiting machan. Call me once you free.","2025-08-29T11:07:33.004281Z"
1000,"1","2025-08-29T11:07:34.135827Z","sms-00077","ham",0.994,"Thats cool. i am a gentleman and will treat you with dignity and respect.","2025-08-29T11:07:34.135845Z"
1001,"1","2025-08-29T11:07:35.164838Z","sms-00078","ham",0.881,"I like you peoples very much:) but am very shy pa.","2025-08-29T11:07:35.164858Z"
1002,"1","2025-08-29T11:07:36.158999Z","sms-00079","ham",0.841,"Does not operate after  &lt;#&gt;  or what","2025-08-29T11:07:36.159015Z"
1003,"1","2025-08-29T11:07:37.420134Z","sms-00080","ham",1.107,"Its not the same here. Still looking for a job. How much do Ta's earn there.","2025-08-29T11:07:37.420153Z"
1004,"1","2025-08-29T11:07:38.439068Z","sms-00081","ham",0.807,"Sorry, I'll call later","2025-08-29T11:07:38.439088Z"
1005,"1","2025-08-29T11:07:39.393894Z","sms-00082","ham",0.811,"K. Did you call me just now ah? ","2025-08-29T11:07:39.393915Z"
1006,"1","2025-08-29T11:07:40.385756Z","sms-00083","ham",0.842,"Ok i am on the way to home hi hi","2025-08-29T11:07:40.385772Z"
1007,"1","2025-08-29T11:07:41.357638Z","sms-00084","ham",0.804,"You will be in the place of that man","2025-08-29T11:07:41.357656Z"
1008,"1","2025-08-29T11:07:42.298988Z","sms-00085","ham",0.787,"Yup next stop.","2025-08-29T11:07:42.299005Z"
1009,"1","2025-08-29T11:07:43.332586Z","sms-00086","ham",0.886,"I call you later, don't have network. If urgnt, sms me.","2025-08-29T11:07:43.332606Z"
1010,"1","2025-08-29T11:07:44.663677Z","sms-00087","ham",1.174,"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.","2025-08-29T11:07:44.663698Z"
1011,"1","2025-08-29T11:07:46.179632Z","sms-00088","ham",1.368,"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.","2025-08-29T11:07:46.179649Z"
1012,"1","2025-08-29T11:07:47.258999Z","sms-00089","ham",0.935,"I'm really not up to it still tonight babe","2025-08-29T11:07:47.259018Z"
1013,"1","2025-08-29T11:07:48.234959Z","sms-00090","ham",0.828,"Ela kano.,il download, come wen ur free..","2025-08-29T11:07:48.234975Z"
1014,"1","2025-08-29T11:07:49.331195Z","sms-00091","ham",0.885,"Yeah do! Don‘t stand to close tho- you‘ll catch something!","2025-08-29T11:07:49.331219Z"
1015,"1","2025-08-29T11:07:52.149012Z","sms-00092","ham",2.655,"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ","2025-08-29T11:07:52.149029Z"
1016,"1","2025-08-29T11:07:53.914633Z","sms-00093","ham",1.574,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!","2025-08-29T11:07:53.914651Z"
1017,"1","2025-08-29T11:07:55.526735Z","sms-00094","spam",1.459,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!","2025-08-29T11:07:55.526755Z"
1018,"1","2025-08-29T11:07:56.834282Z","sms-00095","ham",1.154,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?","2025-08-29T11:07:56.834298Z"
1019,"1","2025-08-29T11:07:58.667717Z","sms-00096","spam",1.681,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","2025-08-29T11:07:58.667730Z"
1020,"1","2025-08-29T11:08:00.476024Z","sms-00097","ham",1.655,"Watching telugu movie..wat abt u?","2025-08-29T11:08:00.476042Z"
1021,"1","2025-08-29T11:08:02.102977Z","sms-00098","ham",1.467,"i see. When we finish we have loads of loans to pay","2025-08-29T11:08:02.102994Z"
1022,"1","2025-08-29T11:08:04.510976Z","sms-00099","ham",2.225,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","2025-08-29T11:08:04.510987Z"
1023,"1","2025-08-29T11:08:06.160932Z","sms-00100","ham",1.446,"I see a cup of coffee animation","2025-08-29T11:08:06.160950Z"
1024,"1","2025-08-29T11:08:07.320769Z","sms-00101","ham",0.994,"Please don't text me anymore. I have nothing else to say.","2025-08-29T11:08:07.320787Z"
1025,"1","2025-08-29T11:08:08.510431Z","sms-00102","ham",1.018,"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx","2025-08-29T11:08:08.510449Z"
1026,"1","2025-08-29T11:08:09.687974Z","sms-00103","ham",1.019,"I'm still looking for a car to buy. And have not gone 4the driving test yet.","2025-08-29T11:08:09.688001Z"
1027,"1","2025-08-29T11:08:11.230291Z","sms-00104","spam",1.397,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","2025-08-29T11:08:11.230306Z"
1028,"1","2025-08-29T11:08:12.905863Z","sms-00105","ham",1.51,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","2025-08-29T11:08:12.905882Z"
1029,"1","2025-08-29T11:08:13.869330Z","sms-00106","ham",0.804,"Umma my life and vava umma love you lot dear","2025-08-29T11:08:13.869347Z"
1030,"1","2025-08-29T11:08:15.220553Z","sms-00107","ham",1.197,"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.","2025-08-29T11:08:15.220589Z"
1031,"1","2025-08-29T11:08:17.240389Z","sms-00108","ham",1.868,"Aight, I'll hit you up when I get some cash","2025-08-29T11:08:17.240409Z"
1032,"1","2025-08-29T11:08:18.772960Z","sms-00109","ham",1.366,"How would my ip address test that considering my computer isn't a minecraft server","2025-08-29T11:08:18.772977Z"
1033,"1","2025-08-29T11:08:20.057159Z","sms-00110","ham",1.129,"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...","2025-08-29T11:08:20.057177Z"
1034,"1","2025-08-29T11:08:21.153985Z","sms-00111","ham",0.941,"Dont worry. I guess he's busy.","2025-08-29T11:08:21.154000Z"
1035,"1","2025-08-29T11:08:22.169117Z","sms-00112","ham",0.857,"What is the plural of the noun research?","2025-08-29T11:08:22.169138Z"
1036,"1","2025-08-29T11:08:23.950438Z","sms-00113","ham",1.624,"Going for dinner.msg you after.","2025-08-29T11:08:23.950457Z"
1037,"1","2025-08-29T11:08:25.452635Z","sms-00114","ham",1.345,"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.","2025-08-29T11:08:25.452658Z"
1038,"1","2025-08-29T11:08:26.824826Z","sms-00115","spam",1.223,"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm","2025-08-29T11:08:26.824847Z"
1039,"1","2025-08-29T11:08:28.994293Z","sms-00116","ham",2.01,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","2025-08-29T11:08:28.994317Z"
1040,"1","2025-08-29T11:08:30.746284Z","sms-00117","ham",1.591,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","2025-08-29T11:08:30.746302Z"
1041,"1","2025-08-29T11:08:32.205036Z","sms-00118","spam",1.301,"You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ","2025-08-29T11:08:32.205059Z"
1042,"1","2025-08-29T11:08:33.349930Z","sms-00119","ham",0.988,"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ","2025-08-29T11:08:33.349946Z"
1043,"1","2025-08-29T11:08:35.353291Z","sms-00120","ham",1.845,"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.","2025-08-29T11:08:35.353309Z"
1044,"1","2025-08-29T11:08:36.596459Z","sms-00121","spam",1.092,"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires","2025-08-29T11:08:36.596477Z"
1045,"1","2025-08-29T11:08:38.854860Z","sms-00122","spam",2.088,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","2025-08-29T11:08:38.854876Z"
1046,"1","2025-08-29T11:08:42.510540Z","sms-00123","ham",3.502,"here is my new address -apples&pairs&all that malarky","2025-08-29T11:08:42.510567Z"
1047,"1","2025-08-29T11:08:44.297921Z","sms-00124","spam",1.633,"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app","2025-08-29T11:08:44.297940Z"
1048,"1","2025-08-29T11:08:48.270105Z","sms-00125","ham",3.789,"I am going to sao mu today. Will be done only at 12 ","2025-08-29T11:08:48.270124Z"
1049,"1","2025-08-29T11:08:50.547921Z","sms-00126","ham",2.064,"Ü predict wat time ü'll finish buying?","2025-08-29T11:08:50.547939Z"
1050,"1","2025-08-29T11:08:51.591962Z","sms-00127","ham",0.867,"Good stuff, will do.","2025-08-29T11:08:51.591978Z"
1051,"1","2025-08-29T11:08:55.212244Z","sms-00128","ham",3.467,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","2025-08-29T11:08:55.212266Z"
1052,"1","2025-08-29T11:08:56.232493Z","sms-00129","ham",0.858,"Are you there in room.","2025-08-29T11:08:56.232509Z"
1053,"1","2025-08-29T11:08:59.269780Z","sms-00130","ham",2.87,"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx","2025-08-29T11:08:59.269798Z"
1054,"1","2025-08-29T11:09:01.439104Z","sms-00131","ham",2.0,"K..k:)how much does it cost?","2025-08-29T11:09:01.439121Z"
1055,"1","2025-08-29T11:09:02.421083Z","sms-00132","ham",0.83,"I'm home.","2025-08-29T11:09:02.421099Z"
1056,"1","2025-08-29T11:09:03.736874Z","sms-00133","ham",1.08,"Dear, will call Tmorrow.pls accomodate.","2025-08-29T11:09:03.736894Z"
1057,"1","2025-08-29T11:09:05.099415Z","sms-00134","ham",1.198,"First answer my question.","2025-08-29T11:09:05.099434Z"
1058,"1","2025-08-29T11:09:09.385273Z","sms-00135","spam",4.123,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone","2025-08-29T11:09:09.385292Z"
1059,"1","2025-08-29T11:09:11.308191Z","sms-00136","spam",1.753,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p","2025-08-29T11:09:11.308209Z"
1060,"1","2025-08-29T11:09:12.981717Z","sms-00137","ham",1.522,"I only haf msn. It's yijue@hotmail.com","2025-08-29T11:09:12.981736Z"
1061,"1","2025-08-29T11:09:15.309805Z","sms-00138","ham",2.177,"He is there. You call and meet him","2025-08-29T11:09:15.309823Z"
1062,"1","2025-08-29T11:09:16.403493Z","sms-00139","ham",0.944,"No no. I will check all rooms befor activities","2025-08-29T11:09:16.403515Z"
1063,"1","2025-08-29T11:09:18.379289Z","sms-00140","spam",1.809,"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again","2025-08-29T11:09:18.379307Z"
1064,"1","2025-08-29T11:09:19.908736Z","sms-00141","ham",1.363,"Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...","2025-08-29T11:09:19.908756Z"
1065,"1","2025-08-29T11:09:21.298750Z","sms-00142","ham",1.227,"K, text me when you're on the way","2025-08-29T11:09:21.298770Z"
1066,"1","2025-08-29T11:09:22.565329Z","sms-00143","ham",1.115,"Sir, Waiting for your mail.","2025-08-29T11:09:22.565346Z"
1067,"1","2025-08-29T11:09:26.599120Z","sms-00144","ham",3.873,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","2025-08-29T11:09:26.599135Z"
1068,"1","2025-08-29T11:09:29.675260Z","sms-00145","ham",2.921,"I know you are. Can you pls open the back?","2025-08-29T11:09:29.675280Z"
1069,"1","2025-08-29T11:09:30.814187Z","sms-00146","ham",0.971,"Yes see ya not on the dot","2025-08-29T11:09:30.814208Z"
1070,"1","2025-08-29T11:09:32.515426Z","sms-00147","ham",1.537,"Whats the staff name who is taking class for us?","2025-08-29T11:09:32.515443Z"
1071,"1","2025-08-29T11:09:34.622995Z","sms-00148","spam",1.945,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","2025-08-29T11:09:34.623016Z"
1072,"1","2025-08-29T11:09:36.439765Z","sms-00149","ham",1.664,"Ummma.will call after check in.our life will begin from qatar so pls pray very hard.","2025-08-29T11:09:36.439785Z"
1073,"1","2025-08-29T11:09:38.039067Z","sms-00150","ham",1.432,"K..i deleted my contact that why?","2025-08-29T11:09:38.039083Z"
1074,"1","2025-08-29T11:09:39.158837Z","sms-00151","ham",0.967,"Sindu got job in birla soft ..","2025-08-29T11:09:39.158860Z"
